scene_id,scene_title,voiceover,scene_description
01,Opening AI Everywhere,"What is artificial intelligence You see it everywhere but the meaning often stays vague","A quiet apartment in the morning. The learner sits at a simple desk with a laptop. A phone lights up with a recommendation. A tablet updates a map. An email notification appears. The same learner notices these systems responding in ordinary daily life"
02,Definition of AI,"AI refers to computer systems that perform tasks we usually associate with human intelligence","Close view of the learner typing on a laptop. Text suggestions appear as they type. A photo library sorts itself into groups. A short voice note converts into written text on screen. The learner watches these responses with calm attention"
03,Rules Versus Learning,"Traditional software follows rules that humans write AI systems learn patterns from data","The learner sits at a desk with two screens. On the left a rigid checklist drives fixed actions in exact order. On the right a system changes its behavior as new examples appear. The learner looks from one screen to the other and sees the contrast"
04,Spam Detection,"In a traditional system you write rules In an AI system you show many examples and let the model learn the pattern","The learner holds a phone and checks an email inbox. Messages arrive one after another. Some move into a spam folder while others remain in the inbox. The filtering shifts gently as more examples arrive. The learner observes that the process adapts"
05,Generalization Across Domains,"That same pattern appears in image recognition speech transcription recommendation systems and credit scoring","A smooth sequence of daily moments follows the learner. A camera groups faces in photos. A phone converts speech into text. A streaming app updates recommendations. A payment screen shows a risk check. The learner moves through these scenes as one continuous day"
06,AI Machine Learning Deep Learning,"AI is the broad category Machine learning sits inside it Deep learning sits inside that","The learner sits at a desk with a notebook open. Three nested translucent shapes appear above the page. The outer shape is broad and simple. Inside it a smaller more structured shape forms. Inside that a dense layered pattern appears. The learner studies the hierarchy quietly"
07,Early AI Symbolic Systems,"Early systems relied on symbolic reasoning and explicit rules and logic","The learner stands in a classroom near a whiteboard. Ordered symbols logic blocks and arrows appear in neat rows. The system looks precise and controlled. The learner sees that every step has been defined in advance"
08,Shift to Statistical Learning,"As data became more available the field shifted toward models that learned patterns from data","The same whiteboard scene changes into flowing data points and soft clusters of examples. A model shape forms from repeated patterns instead of fixed rules. The learner watches the shift from hand written logic to learned structure"
09,Generative Systems,"More recently we have seen systems that do not only classify or predict They create","The learner sits at the desk again. A blank document fills with text. The text becomes a simple image on screen. The image turns into a short moving scene. The learner watches the system create new content from a prompt"
10,Narrow AI,"All current AI systems are narrow They are strong within a specific task and limited outside it","The learner loses a game of chess to a computer on a table. The scene cuts to the same learner in a parked car with a dashboard system that remains inactive and unhelpful. The contrast shows strength in one task and limits in another"
11,Everyday Embedded AI,"You interact with AI far more often than you might realize","A day unfolds around the learner. Navigation updates during a drive. Music suggestions change on a phone. A shopping site recommends products. A support chat answers a question. Each system appears as part of normal daily routine"
12,Bias and Failure,"AI systems can inherit bias from their training data and they can fail when conditions change","The learner reviews results on a laptop. At first the outputs look smooth and consistent. Then a new input appears that does not fit the earlier pattern. The system responds poorly. The learner pauses and notices the mismatch"
13,Hallucination,"Language models can produce answers that sound plausible but are wrong","The learner reads a polished answer on a laptop screen. Their expression stays calm. Small inconsistencies appear in dates facts and details. The learner leans in and notices that confidence and accuracy do not always match"
14,Data,"First data is the foundation It consists of examples the system learns from","The learner sits at a desk as raw materials appear around them in visual form. Text documents images sensor traces and transaction records gather into one organized workspace. The learner looks at the variety of inputs that can train a system"
15,Features,"Features are measurable characteristics extracted from data","The raw materials on the desk begin to simplify into patterns. Words highlight into clusters. Image regions become shapes. Sensor traces reduce into clear signals. The learner sees raw data turn into usable traits"
16,Labels,"Labels are the correct answers used during training","The learner reviews a set of examples on screen. Some emails are marked spam and others safe. Several images are grouped into known categories. The idea of correct examples becomes visible through simple marked cases"
17,Model,"The model is the mathematical structure that maps inputs to outputs","Above the learner's notebook a clean structured form assembles from the labeled examples. Inputs flow in on one side and outputs appear on the other. The learner watches the model take shape as a stable pattern"
18,Loss and Optimization,"Loss measures error and optimization reduces that error over time","The learner watches a prediction miss the correct answer. A visual meter signals the gap. The model adjusts slightly. A second attempt comes closer. After several rounds the error shrinks. The learner sees improvement through repeated correction"
19,Human in the Loop,"The most effective AI systems often augment human decision making instead of replacing it","The professional appears in a clean office with natural light. They review a system recommendation on a laptop. They pause think and adjust the outcome before confirming it. The system updates after the human decision"
20,High Stakes Oversight,"This matters most in settings like healthcare finance and hiring where mistakes have real consequences","The professional sits in a more formal setting and reviews an unusual system result. A case gets flagged for review instead of automatic action. The professional examines it carefully before moving forward. The scene emphasizes restraint and oversight"
21,Multiple Stakeholders,"Every AI system affects users operators data contributors and society more broadly","A flowing sequence moves through several perspectives. The learner uses an app. The professional monitors the system. Background images suggest many unseen people whose data and lives connect to the system. The sequence links these groups into one chain"
22,Fairness Privacy Transparency,"When you evaluate AI you also need to ask whether the system is fair private and understandable","The learner and professional appear in alternating scenes. One scene shows balanced outcomes across different people. Another shows sensitive data kept secure. Another shows a decision process opened up for inspection. The style stays calm and practical"
23,Looking Past the Demo,"When you see an AI demo ask what inputs were chosen what constraints are hidden and what happens when the system fails","The professional watches a polished demo on a large screen. Everything works smoothly. Then the view shifts to messy incomplete and unusual inputs. The system hesitates. The professional studies the edge cases instead of the polished surface"
24,Closing Chain,"AI systems learn patterns from data They make predictions Those predictions influence decisions and those decisions affect people","The learner and professional appear in connected scenes. Data flows into a model. The model produces a prediction. The professional makes a decision. The result appears in the learner's everyday world. The full chain remains visible from start to finish"
