scene_id,scene_title,voiceover,scene_description,prompt,filename
1,Opening AI Everywhere,What is artificial intelligence You see it everywhere but the meaning often stays vague,A quiet apartment in the morning. The learner sits at a simple desk with a laptop. A phone lights up with a recommendation. A tablet updates a map. An email notification appears. The same learner notices these systems responding in ordinary daily life,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. A quiet apartment in the morning. The learner sits at a simple desk with a laptop. A phone lights up with a recommendation. A tablet updates a map. An email notification appears. The same learner notices these systems responding in ordinary daily life. Slow camera movement. No text on screen.",01_opening_ai_everywhere.mp4
2,Definition of AI,AI refers to computer systems that perform tasks we usually associate with human intelligence,Close view of the learner typing on a laptop. Text suggestions appear as they type. A photo library sorts itself into groups. A short voice note converts into written text on screen. The learner watches these responses with calm attention,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. Close view of the learner typing on a laptop. Text suggestions appear as they type. A photo library sorts itself into groups. A short voice note converts into written text on screen. The learner watches these responses with calm attention. Slow camera movement. No text on screen.",02_definition_of_ai.mp4
3,Rules Versus Learning,Traditional software follows rules that humans write AI systems learn patterns from data,The learner sits at a desk with two screens. On the left a rigid checklist drives fixed actions in exact order. On the right a system changes its behavior as new examples appear. The learner looks from one screen to the other and sees the contrast,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner sits at a desk with two screens. On the left a rigid checklist drives fixed actions in exact order. On the right a system changes its behavior as new examples appear. The learner looks from one screen to the other and sees the contrast. Slow camera movement. No text on screen.",03_rules_versus_learning.mp4
4,Spam Detection,In a traditional system you write rules In an AI system you show many examples and let the model learn the pattern,The learner holds a phone and checks an email inbox. Messages arrive one after another. Some move into a spam folder while others remain in the inbox. The filtering shifts gently as more examples arrive. The learner observes that the process adapts,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner holds a phone and checks an email inbox. Messages arrive one after another. Some move into a spam folder while others remain in the inbox. The filtering shifts gently as more examples arrive. The learner observes that the process adapts. Slow camera movement. No text on screen.",04_spam_detection.mp4
5,Generalization Across Domains,That same pattern appears in image recognition speech transcription recommendation systems and credit scoring,A smooth sequence of daily moments follows the learner. A camera groups faces in photos. A phone converts speech into text. A streaming app updates recommendations. A payment screen shows a risk check. The learner moves through these scenes as one continuous day,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. A smooth sequence of daily moments follows the learner. A camera groups faces in photos. A phone converts speech into text. A streaming app updates recommendations. A payment screen shows a risk check. The learner moves through these scenes as one continuous day. Slow camera movement. No text on screen.",05_generalization_across_domains.mp4
6,AI Machine Learning Deep Learning,AI is the broad category Machine learning sits inside it Deep learning sits inside that,The learner sits at a desk with a notebook open. Three nested translucent shapes appear above the page. The outer shape is broad and simple. Inside it a smaller more structured shape forms. Inside that a dense layered pattern appears. The learner studies the hierarchy quietly,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner sits at a desk with a notebook open. Three nested translucent shapes appear above the page. The outer shape is broad and simple. Inside it a smaller more structured shape forms. Inside that a dense layered pattern appears. The learner studies the hierarchy quietly. Slow camera movement. No text on screen.",06_ai_machine_learning_deep_learning.mp4
7,Early AI Symbolic Systems,Early systems relied on symbolic reasoning and explicit rules and logic,The learner stands in a classroom near a whiteboard. Ordered symbols logic blocks and arrows appear in neat rows. The system looks precise and controlled. The learner sees that every step has been defined in advance,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner stands in a classroom near a whiteboard. Ordered symbols logic blocks and arrows appear in neat rows. The system looks precise and controlled. The learner sees that every step has been defined in advance. Slow camera movement. No text on screen.",07_early_ai_symbolic_systems.mp4
8,Shift to Statistical Learning,As data became more available the field shifted toward models that learned patterns from data,The same whiteboard scene changes into flowing data points and soft clusters of examples. A model shape forms from repeated patterns instead of fixed rules. The learner watches the shift from hand written logic to learned structure,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The same whiteboard scene changes into flowing data points and soft clusters of examples. A model shape forms from repeated patterns instead of fixed rules. The learner watches the shift from hand written logic to learned structure. Slow camera movement. No text on screen.",08_shift_to_statistical_learning.mp4
9,Generative Systems,More recently we have seen systems that do not only classify or predict They create,The learner sits at the desk again. A blank document fills with text. The text becomes a simple image on screen. The image turns into a short moving scene. The learner watches the system create new content from a prompt,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner sits at the desk again. A blank document fills with text. The text becomes a simple image on screen. The image turns into a short moving scene. The learner watches the system create new content from a prompt. Slow camera movement. No text on screen.",09_generative_systems.mp4
10,Narrow AI,All current AI systems are narrow They are strong within a specific task and limited outside it,The learner loses a game of chess to a computer on a table. The scene cuts to the same learner in a parked car with a dashboard system that remains inactive and unhelpful. The contrast shows strength in one task and limits in another,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner loses a game of chess to a computer on a table. The scene cuts to the same learner in a parked car with a dashboard system that remains inactive and unhelpful. The contrast shows strength in one task and limits in another. Slow camera movement. No text on screen.",10_narrow_ai.mp4
